Silent,shadow,0,humanoid,silent.gif;silent1.gif
Silent watcher,hunter,0,humanoid,silentwatcher.gif;silentwatcher1.gif
Simdan,magus,0,humanoid,simdan.gif;simdan1.gif
Simple monkey,monkey,180000,animal,simplemonkey.gif;simplemonkey1.gif
Simple snake,snake,2350000,animal,simplesnake.gif;simplesnake1.gif
Skilled horse,horse,220000,animal,skilledhorse.gif;skilledhorse1.gif
Slasher,assassin,0,humanoid,slasher.gif;slasher1.gif
Slide,water,0,water,slide.gif;slide1.gif
Slime ogre,grimogres,440000,humanoid,muckogre.gif;muckogre1.gif
Slither,water,0,water,slither.gif;slither1.gif
Slitherly,snake,7400000,animal,slitherly.gif;slitherly1.gif
Sly monkey,monkey,16000,animal,slymonkey.gif;slymonkey1.gif
Smoke whisp,wind,3413426,undead,smokewhisp.gif;smokewhisp1.gif
Snake,hausson,80,animal,snake.gif;snake1.gif
Snake,islets,80,animal,snake.gif;snake1.gif
Snake,nagnang,80,animal,snake.gif;snake1.gif
Snake,vale,80,animal,snake.gif;snake1.gif
Snake,wilderness,80,animal,snake.gif;snake1.gif
Snake avenger,snake,35000000,boss,snakeavenger.gif;snakeavenger1.gif
Snake defender,snake,9450000,sentry,snakedefender.gif;snakedefender1.gif
Snake guardian,snake,6300000,sentry,snakeguardian.gif;snakeguardian1.gif
Snake mage,snake,16000000,boss,snakemage.gif;snakemage1.gif
Snake sentry,snake,800000,sentry,snakesentry.gif;snakesentry1.gif
Snake shaman,snake,1700000,boss,snakeavenger.gif;snakeavenger1.gif
Snow bear,woodlands,13000,animal,snowbear.gif;snowbear1.gif
Southern ogre,grimogres,300000,humanoid,southernogre.gif;southernogre1.gif
Spasm,snake,8100000,animal,spasm.gif;spasm1.gif
Spirit dog,dog,8000000,boss,spiritdog.gif;spiritdog1.gif
Spirit dragon,dragon,35000000,boss,dragonavenger.gif;dragonavenger1.gif
Spirit horse,horse,15000000,boss,horseavenger.gif;horseavenger1.gif
Spirit monkey,monkey,2800000,boss,spiritmonkey.gif;spiritmonkey1.gif
Spirit mouse,rat,2550000,animal,spiritmouse.gif;spiritmouse1.gif
Spirit ox,ox,22000000,boss,spiritox.gif;spiritox1.gif
Spirit pig,pig,28000000,boss,pigavenger.gif;pigavenger1.gif
Spirit rabbit,rabbit,2000000,boss,rabbitdefender.gif;rabbitdefender1.gif
Spirit rat,rat,14000000,boss,mightymouse.gif;mightymouse1.gif
Spirit rooster,rooster,7000000,boss,roosterswordsman.gif;roosterswordsman1.gif
Spirit sheep,sheep,34000000,boss,mythicsheep.gif;mythicsheep1.gif
Spirit snake,snake,32000000,boss,snakeavenger.gif;snakeavenger1.gif
Spirit tiger,tiger,35000000,boss,mythictiger.gif;mythictiger1.gif
Spirited horse,horse,610000,animal,spiritedhorse.gif;spiritedhorse1.gif
Spotted mutt,dog,1250000,animal,spottedmutt.gif;spottedmutt1.gif
Sprint butterfly,woodlands,5,insect,sprintbutterfly.gif
Spry monkey,monkey,20000,animal,sprymonkey.gif;sprymonkey1.gif
Spunky dog,dog,400000,animal,spunkydog.gif;spunkydog1.gif
Spunky monkey,monkey,630000,animal,spunkymonkey.gif;spunkymonkey1.gif
Squeek,water,0,water,squeek.gif;squeek1.gif
Squirrel,buya,10,animal,squirrel.gif;squirrel1.gif
Squirrel,islets,10,animal,squirrel.gif;squirrel1.gif
Squirrel,kugnae,10,animal,squirrel.gif;squirrel1.gif
Squirrel,nagnang,10,animal,squirrel.gif;squirrel1.gif
Squirrel,tangun,10,animal,squirrel.gif;squirrel1.gif
Squirrel,vortex,10,animal,squirrel.gif;squirrel1.gif
Squirrel,wilderness,10,animal,squirrel.gif;squirrel1.gif
Squirrel,woodlands,10,animal,squirrel.gif;squirrel1.gif
Stealth guardian,hunter,0,humanoid,stealthguardian.gif;stealthguardian1.gif
Sting,forestcrossroads,800000,insect,sting.gif;sting1.gif
Stone ogre,islets,600,humanoid,stoneogre.gif;stoneogre1.gif
Storm snake,snake,8500000,animal,stormsnake.gif;stormsnake1.gif
Storp,anchorite,0,humanoid,storp.gif;storp1.gif
Stout pig,pig,1700000,animal,stoutpig.gif;stoutpig1.gif
Stout piglet,pig,1350000,animal,stoutpiglet.gif;stoutpiglet1.gif
Stout warthog,pig,2700000,animal,stoutwarthog.gif;stoutwarthog1.gif
Strawberries,gogoonisland,80000,Plant,strawberries.gif
Stubborn pig,pig,290000,animal,stubbornpig.gif;stubbornpig1.gif
Stubborn piglet,pig,240000,animal,stubbornpiglet.gif;stubbornpiglet1.gif
Stubborn warthog,pig,530000,animal,stubbornwarthog.gif;stubbornwarthog1.gif
Sun feather,rooster,3900000,animal,sunfeather.gif;sunfeather1.gif
Swift,shadow,0,humanoid,swift.gif;swift1.gif
Swift mauler,hillmen,0,humanoid,swiftmauler.gif;swiftmauler1.gif
Takrai,gogoonisland,80000,Plant,takrai.gif
Tan gator,tangun,5,animal,tangator.gif;tangator1.gif
Thorn,earth,0,humanoid,thorn.gif;thorn1.gif
Thump,rabbit,630000,animal,bunny.gif
Tiger,islets,1200,animal,tiger.gif;tiger1.gif
Tiger,vale,1200,animal,tiger.gif;tiger1.gif
Tiger avenger,tiger,35000000,boss,mythictiger.gif;mythictiger1.gif
Tiger slasher,tiger,22000000,boss,blizzard.gif;blizzard1.gif
Tiger warrior,tiger,3200000,boss,mythictiger.gif;mythictiger1.gif
Tiny Turtle,gogoonisland,220000,Animal,tinyturtle.gif;tinyturtle1.gif
Tough fight,ox,6800000,animal,toughfight.gif;toughfight1.gif
Trapper,hunter,0,humanoid,trapper.gif;trapper1.gif
Turbulent saseum,omphalosgrounds,0,animal,turbulentsaseum.gif;turbulentsaseum1.gif
Ugly monkey,monkey,23000,animal,uglymonkey.gif;uglymonkey1.gif
Ugly sheep,sheep,840000,animal,uglysheep.gif;uglysheep1.gif
Unseen,shadow,0,humanoid,unseen.gif;unseen1.gif
Vanish,shadow,0,humanoid,vanish.gif;vanish1.gif
Vicious kashik,events,0,event,viciouskashik.gif;viciouskashik1.gif
Vile rat,rat,100000,animal,vilerat.gif;vilerat1.gif
Vitalizing yamour,griyalgrounds,0,animal,vitalizingyamour.gif;vitalizingyamour1.gif
Water elemental,earth,0,humanoid,waterelemental.gif;waterelemental1.gif
Water snake,woodlands,4444,water,watersnake.gif;watersnake1.gif
Water wizard,dread,0,humanoid,waterwizard.gif;waterwizard1.gif
White chicken,rooster,480000,animal,wildchicken.gif;wildchicken1.gif
White rabbit,buya,5,animal,whiterabbit.gif;whiterabbit1.gif
White rabbit,kugnae,5,animal,whiterabbit.gif;whiterabbit1.gif
White rooster,rooster,500000,animal,wildrooster.gif;wildrooster1.gif
Wibna,hillmen,0,humanoid,wibna.gif;wibna1.gif
Wild chick,rooster,1800000,animal,wildchick.gif;wildchick1.gif
Wild chicken,rooster,48000,animal,wildchicken.gif;wildchicken1.gif
Wild horse,horse,170000,animal,wildhorse.gif;wildhorse1.gif
Wild rooster,rooster,71000,animal,wildrooster.gif;wildrooster1.gif
Wild snake,woodlands,4444,animal,wildsnake.gif;wildsnake1.gif
Wild yamour,griyalgrounds,0,animal,wildyamour.gif;wildyamour1.gif
Wolf,buya,640,animal,wolf.gif;wolf1.gif
Wolf,kugnae,640,animal,wolf.gif;wolf1.gif
Wolf,vale,640,animal,wolf.gif;wolf1.gif
Wolf,wilderness,640,animal,wolf.gif;wolf1.gif
Wolf-kin,dog,2000000,animal,wolfkin.gif;wolfkin1.gif
Wood snake,woodlands,4444,animal,woodsnake.gif;woodsnake1.gif
Wood wolf,woodlands,2000,animal,lightningwolf.gif;lightningwolf1.gif
Wooden horse,horse,3800000,animal,woodenhorse.gif;woodenhorse1.gif
Woods savage,bandit,0,humanoid,woodssavage.gif;woodssavage1.gif
Yarsin,greyhand,0,humanoid,yarsin.gif;yarsin1.gif
Young dragon,dragon,1600000,dragon,youngdragon.gif;youngdragon1.gif
Zibong's mask,wind,0,insect,zibongsmask.gif;zibongsmask1.gif
