name,pages,extinct,gif,special,obtain
Earth mail dress,armor/warriorarmor,0,photo/armor60/earthmaildress.gif,None,Smith Special Info: None
Earth mantle,armor/poetarmor,0,photo/armor60/earthmantle.gif,Can be sold at Sya's shop in KaMingÃÂ¯ÃÂ¿ÃÂ½s encampment.,Tailoring Special Info: Can be sold at Sya's shop in KaMingÃÂ¯ÃÂ¿ÃÂ½s encampment.
Earth Orb,armor/handitems,0,photo/armor60/earthorb.gif,Bonded,Orb Quest Special Info: Bonded
Earth robes,armor/poetarmor,0,photo/armor60/earthrobes.gif,None,Seams Special Info: None
Earth scale mail,armor/warriorarmor,0,photo/armor60/earthscalemail.gif,None,Smith Special Info: None
Earth skirt,armor/magearmor,0,photo/armor60/earthskirt.gif,None,Seamstress Special Info: None
Earth tiger mail,armor/warriorarmor,0,photo/armor60/earthtigermail.gif,None,Chongun Quest Special Info: None
Earth tigress,armor/warriorarmor,0,photo/armor60/earthtigress.gif,None,Chongun Quest Special Info: None
Earth waistcoat,armor/roguearmor,0,photo/armor60/earthwaistcoat.gif,None,Seams Special Info: None
Earth war dress,armor/warriorarmor,0,photo/armor60/earthwardress.gif,None,Smith Special Info: None
Earth war platemail,armor/warriorarmor,0,photo/armor60/earthwarplatemail.gif,None,Smith Special Info: None
Ee Ernlere Staff,weapons/spears,0,photo/weapons60/ErnlereStaff.gif,Non-bonded; costs 500 coins to deposit,Iron Hands Event 2016
Ee Featherlight Arm,weapons/spears,0,photo/weapons60/FeatherlightArm.gif,Can hit multiple targets / Does not take away invisible after hit,"Reward for ""destroying evil pursuits of Iron Hands"" (2016)"
Ee Flame spear,weapons/spears,0,photo/weapons60/Flamespear.gif,Can hit multiple targets / Does not take away invisible after hit,"Reward for ""destroying evil pursuits of Iron Hands"" (2016)"
Ee san blood,weapons/enchanted|weapons/swords,0,photo/weapons60/blood.gif,Bonded / Break on Death,Enchanted Blood by a Ee san Rogue at Bon-Hwa
Ee san charm,weapons/enchanted|weapons/spears,0,photo/weapons60/charm.gif,Bonded / Break on Death,Enchanted Charm by a Ee san Poet at Bon-Hwa
Ee san chung ryong scale,weapons/enchanted|weapons/swords,0,photo/weapons60/chungryongscale.gif,"Bonded / Unrepairable, NPC Subpath Ee san Members","Say ""Kimesh"" to Hausson Smith"
Ee san Cutlass Skully,weapons/swords,0,photo/weapons60/cutlassskully.gif,BREAK ON DEATH,Obtained during the 2015 Pirates event. May still be obtained *rarely* through Sally quests.
Ee san ju jak staff,weapons/enchanted|weapons/spears,0,photo/weapons60/jujakstaff.gif,"Bonded / Unrepairable, NPC Subpath Ee san Members","Say ""Kimesh"" to Hausson Smith"
Ee san life lance,weapons/enchanted|weapons/spears,0,photo/weapons60/lifelance.gif,"Bonded / Unrepairable, NPC Subpath Ee san Members","Say ""Kimesh"" to Hausson Smith"
Ee san nimble blade,weapons/enchanted|weapons/swords,0,photo/weapons60/nimbleblade.gif,"Bonded / Unrepairable, NPC Subpath Ee san Members","Say ""Kimesh"" to Hausson Smith"
Ee san spike,weapons/clubs|weapons/enchanted,0,,Bonded / Break on Death,Enchanted Spike by an Ee san Warrior at Bon-Hwa
Ee san surge,weapons/enchanted|weapons/spears,0,photo/weapons60/surge.gif,Bonded / Break on Death,Enchanted Surge by a Ee san Mage at Bon-Hwa
Ee Sulfurule Scepter,weapons/spears,0,photo/weapons60/SulfuruleScepter.gif,Non-bonded; costs 500 coins to deposit,Iron Hands Event 2016
Egg,items/crafts|items/drops|items/vita,0,photo/items60/egg.gif,,Dropped by various chickens
Electra,weapons/carnageprize|weapons/swords,0,photo/weapons60/electra.gif,Break on Death,Dropped by Muck/Slime Ogre - Dirt/Shadow Mantis - Tiger Palace Tigers -Legends or Higher Carnage Prize
Elendhirin helm,armor/headitems,0,photo/armor60/elendhirinhelm.gif,Bonded / Unrepairable,Clan Hall Special Info: Bonded / Unrepairable
Elendhirin helmet,armor/headitems,0,photo/armor60/elendhirinhelm.gif,Bonded / Unrepairable,Clan Hall Special Info: Bonded / Unrepairable
Elixir bow,weapons/bows,0,,Cannot leave Elixir arenas,Elixir wars
Enchanted blood,weapons/enchanted|weapons/swords,0,photo/weapons60/blood.gif,Bonded / Break on Death,Enchanted Blood by a Enchanted Rogue at Bon-Hwa / Non-Bonded Rare Drop by Tiger 2 Item Boss
Enchanted buckler,armor/shields,0,photo/armor60/enchantedbuckler.gif,Bonded,Nagnag Shield Quest Special Info: Bonded
Enchanted charm,weapons/enchanted|weapons/spears|weapons/spears,0,photo/weapons60/charm.gif,Non-Bonded,Forever Tree
Enchanted chung ryong scale,weapons/enchanted|weapons/swords,0,photo/weapons60/chungryongscale.gif,"Bonded / Unrepairable, NPC Subpath Enchanted Members","Say ""Kimesh"" to Hausson Smith"
Enchanted combat badge,armor/subaccessory,0,photo/armor60/combatbadge.gif,Breaks on Death,Obtained by helping HaggardWitch escape from KaKhan Special Info: Breaks on Death
Enchanted combat headpiece,armor/headitems,0,photo/armor60/enchantedcombatheadpiece.gif,Creation system,Special Info: Creation system
Enchanted Ernlere staff,weapons/spears,0,photo/weapons60/ErnlereStaff.gif,Non-bonded; costs 500 coins to deposit,Iron Hands Event 2016
Enchanted Featherlight Arm,weapons/spears,0,photo/weapons60/FeatherlightArm.gif,Can hit multiple targets / Does not take away invisible after hit,"Reward for ""destroying evil pursuits of Iron Hands"" (2016)"
Enchanted Flame spear,weapons/spears,0,photo/weapons60/Flamespear.gif,Can hit multiple targets / Does not take away invisible after hit,"Reward for ""destroying evil pursuits of Iron Hands"" (2016)"
Enchanted ju jak staff,weapons/enchanted|weapons/spears,0,photo/weapons60/jujakstaff.gif,"Bonded / Unrepairable, NPC Subpath Enchanted Members","Say ""Kimesh"" to Hausson Smith"
Enchanted life lance,weapons/enchanted|weapons/spears,0,photo/weapons60/lifelance.gif,"Bonded / Unrepairable, NPC Subpath Enchanted Members","Say ""Kimesh"" to Hausson Smith"
Enchanted magic rune,armor/subaccessory,0,photo/armor60/magicrune-sub.gif,Breaks on Death,Obtained by helping HaggardWitch escape from KaKhan Special Info: Breaks on Death
Enchanted nimble blade,weapons/enchanted|weapons/swords,0,photo/weapons60/nimbleblade.gif,"Bonded / Unrepairable, NPC Subpath Enchanted Members","Say ""Kimesh"" to Hausson Smith"
Enchanted sea cutlass,weapons/swords,0,photo/weapons60/seacutlass.gif,BREAK ON DEATH,Obtained by opening the Captain's chest in the Demolisher
Enchanted sea glaive,weapons/spears,0,photo/weapons60/seaglaive.gif,BREAK ON DEATH,Obtained by opening the Captain's chest in the Demolisher
Enchanted sea rapier,weapons/swords,0,photo/weapons60/searapier.gif,BREAK ON DEATH,Obtained by opening the Captain's chest in the Demolisher
Enchanted sea trident,weapons/spears,0,photo/weapons60/seatrident.gif,BREAK ON DEATH,Obtained by opening the Captain's chest in the Demolisher
Enchanted spike,weapons/clubs|weapons/enchanted,0,,Bonded / Break on Death,Enchanted Spike by an Enchanted Warrior at Bon-Hwa
Enchanted Sulfurule Scepter,weapons/spears,0,photo/weapons60/SulfuruleScepter.gif,Non-bonded; costs 500 coins to deposit,Iron Hands Event 2016
Enchanted surge,weapons/enchanted|weapons/spears,0,photo/weapons60/surge.gif,Bonded / Break on Death,Forever Tree
Enchanted ward,armor/shields,0,photo/armor60/enchantedward.gif,Bonded,Nagnag Shield Quest Special Info: Bonded
Engagement ring,armor/handitems,0,photo/armor60/engagementring.gif,None,Chapel Special Info: None
Enhanced Battleaxe,weapons/axes,0,,BOD,Dropped by Sonhi Executioner in Sonhi hideout event May 2020
Enhanced combat badge,armor/subaccessory,0,photo/armor60/combatbadge.gif,Breaks on Death,Obtained by helping HaggardWitch escape from KaKhan Special Info: Breaks on Death
Enhanced magic rune,armor/subaccessory,0,photo/armor60/magicrune-sub.gif,Breaks on Death,Obtained by helping HaggardWitch escape from KaKhan Special Info: Breaks on Death
Enhanced sea cutlass,weapons/swords,0,photo/weapons60/seacutlass.gif,BREAK ON DEATH,Obtained by opening the Captain's chest in the Demolisher
Enhanced sea glaive,weapons/spears,0,photo/weapons60/seaglaive.gif,BREAK ON DEATH,Obtained by opening the Captain's chest in the Demolisher
Enhanced sea rapier,weapons/swords,0,photo/weapons60/searapier.gif,BREAK ON DEATH,Obtained by opening the Captain's chest in the Demolisher
Enhanced sea trident,weapons/spears,0,photo/weapons60/seatrident.gif,BREAK ON DEATH,Obtained by opening the Captain's chest in the Demolisher
Enigma helm,armor/headitems,0,photo/armor60/enigmahelm.gif,Bonded / Unrepairable,Clan Hall Special Info: Bonded / Unrepairable
Enigma helmet,armor/headitems,0,photo/armor60/enigmahelm.gif,Bonded / Unrepairable,Clan Hall Special Info: Bonded / Unrepairable
Enscorcelled drape,armor/magearmor,0,photo/armor60/enscorcelleddrape.gif,None,Dropped by Lord Badak Api boss in Gogoon Rhino Cave Special Info: None
Enscorcelled robe,armor/magearmor,0,photo/armor60/enscorcelledrobe.gif,None,Dropped by Lord Badak Api boss in Gogoon Rhino Cave Special Info: None
Entwined Skullcap,armor/headitems,0,photo/armor60/entwinedskullcap.gif,None,Dropped by Turtle Boss Special Info: None
Ernlere staff,weapons/spears,0,photo/weapons60/ErnlereStaff.gif,Non-bonded; costs 500 coins to deposit,Iron Hands Event 2016
Etherial vest,armor/coataccessory,0,photo/armor60/ilbonvest.gif,"Event drop. Used to have -6 AC when it was an armor, but lost defensive stats when it was converted to coat in november 2012","Dropped at Etherial Temple back in Yuri 38/39 Special Info: Event drop. Used to have -6 AC when it was an armor, but lost defensive stats when it was converted to coat in november 2012"
Evening fan,weapons/fans,0,,None,Leviathan Quest
Exalted Kagum Huan,weapons/swords,0,photo/weapons60/kagumhuan.gif,None,Side with General HanXin against the pirates
Exalted Kagum Xu,weapons/swords,0,photo/weapons60/kagumxu.gif,None,Pirate Event 2007
Excelsa fan,weapons/fans,0,,None,"Sept. 11, 2002 Event"
Exceptional Etched Blade,weapons/swords,0,photo/weapons60/etchedblade.gif,,
Exceptional Etched Scepter,weapons/spears,0,photo/weapons60/etchedspecter.gif,,
Exceptional Etched Spear,weapons/swords,0,photo/weapons60/etchedspear.gif,,Taek Pae Quest
Exceptional Etched Staff,weapons/spears,0,photo/weapons60/etchedstaff.gif,,
Exorcist ring,armor/handitems,0,photo/armor60/holyring.gif,None,Ring Shop Special Info: None
Exquisit Etched Spear,weapons/swords,0,photo/weapons60/etchedspear.gif,Obtained from Taik Pae Quest,Obtained from Taik Pae Quest
Exquisit Etched Staff,weapons/spears,0,photo/weapons60/etchedstaff.gif,,
Exquisite Etched Blade,weapons/swords,0,photo/weapons60/etchedblade.gif,,
Exquisite Etched Scepter,weapons/spears,0,photo/weapons60/etchedspecter.gif,,
Fabled trowel,armor/subaccessory,0,photo/armor60/fabledtrowel.gif,Rumored to give a bonus to woodcutting skill,Rangers Special Info: Rumored to give a bonus to woodcutting skill
Faerie light,weapons/spears|weapons/spears,0,photo/weapons60/faerielight.gif,Non-Bonded,Maximum Karma
Fallacious great staff,weapons/spears,0,photo/weapons60/fallaciousstaff.gif,Sided with Bad (Jong) side,Lost Mines Event 2007
Fallacious light staff,weapons/spears,0,photo/weapons60/fallaciousstaff.gif,Sided with Bad (Jong) side,Lost Mines Event 2007
Fallacious minor staff,weapons/spears,0,photo/weapons60/fallaciousstaff.gif,Sided with Bad (Jong) side,Lost Mines Event 2007
Fallacious staff,weapons/spears,0,photo/weapons60/fallaciousstaff.gif,Sided with Bad (Jong) side,Lost Mines Event 2007
Fallacious tempered staff,weapons/spears,0,photo/weapons60/fallaciousstaff.gif,Sided with Bad (Jong) side,Lost Mines Event 2007
Family clothes,armor/magearmor,0,photo/armor60/familyclothes.gif,None,Seams Special Info: None
Fan,weapons/fans,0,,None,Leviathan Quest
Fan of Cambium,weapons/fans,0,,None,Hyul 20 (November 2008)
Fan of Heartwood,weapons/fans,0,,None,Hyul 20 (November 2008)
Fan of Phloem,weapons/fans,0,,None,Hyul 20 (November 2008)
Fan of Roots,weapons/fans,0,,None,Hyul 20 (November 2008)
Fan of Xylem,weapons/fans,0,,None,Hyul 20 (November 2008)
Farmer armor,armor/roguearmor,0,photo/armor60/farmerarmor.gif,None,Smith Special Info: None
Farmer helm,armor/headitems,0,photo/armor60/summerhelm.gif,None,Smith Special Info: None
Farmer's clothes,armor/magearmor,0,photo/armor60/farmerclothes.gif,None,Seams Special Info: None
Farmer's waistcoat,armor/roguearmor,0,photo/armor60/farmerwaistcoat.gif,None,Seams Special Info: None
Fatality fan,weapons/fans,0,,None,Leviathan Quest
Fate's blade,weapons/swords,0,photo/weapons60/spiritshard.gif,Bonded / Non-Repairable / Cannot Deposit,Received as a random outcome of an I-Ching Reading
Featherlight Arm,weapons/spears,0,photo/weapons60/FeatherlightArm.gif,Can hit multiple targets / Does not take away invisible after hit,"Reward for ""destroying evil pursuits of Iron Hands"" (2016)"
Female songbok,armor/coataccessory,0,photo/armor60/femalesongbok.gif,Used to be an armor but now is coat since november 2012. It still has the original stats.,"Obtained back in Yuri 82 when King Yuri died. Needed to donate between 1,000 and 50,000 coins to the Royal Tailor. Obtained along with a Bamboo and some karma. Donating contributed to the building of "
Ferocity fan,weapons/fans,0,,None,Leviathan Quest
Fighter essence,items/drops|items/woodlandsitems,0,photo/items60/fighteressence.gif,,Woodlands Bear Cave
Fighting fan,weapons/fans,0,,None,Leviathan Quest
Fine combat badge,armor/subaccessory,0,photo/armor60/combatbadge.gif,Breaks on Death,Obtained by helping HaggardWitch escape from KaKhan Special Info: Breaks on Death
Fine Etched Blade,weapons/swords,0,photo/weapons60/etchedblade.gif,,Taik Pae Quest
Fine Etched Scepter,weapons/spears,0,photo/weapons60/etchedspecter.gif,Obtained from Taik Pae Quest,Obtained from Taik Pae Quest
Fine Etched Spear,weapons/swords,0,photo/weapons60/etchedspear.gif,,Taek Pae Quest
Fine Etched Staff,weapons/spears,0,photo/weapons60/etchedstaff.gif,Obtained from Taik Pae Quest,Obtained from Taik Pae Quest
Fine magic rune,armor/subaccessory,0,photo/armor60/magicrune-sub.gif,Breaks on Death,Obtained by helping HaggardWitch escape from KaKhan Special Info: Breaks on Death
Fine rabbit meat,items/drops|items/spells|items/vita,0,photo/items60/rabbitmeat.gif,,Mythic rabbits
Fine silk,items/drops|items/woodlandsitems,0,photo/items60/finesilk.gif,,Woodlands Rabbit Cave
Fine snake meat,items/crafts|items/drops|items/vita,0,photo/items60/snakemeat.gif,,Mythic Snakes
Fine steel blade,weapons/swords,0,photo/weapons60/steelthorn.gif,Fine means More Durability,Made from Smithing
Fine steel dagger,weapons/swords,0,photo/weapons60/steeldagger.gif,Fine means More Durability,Made from Smithing
Fine steel saber,weapons/swords,0,photo/weapons60/steelthorn.gif,Fine means More Durability,Made from Smithing
Fine steel sword,weapons/swords,0,photo/weapons60/steelsaber.gif,Fine means More Durability,Made from Smithing
Finest snake meat,items/drops,0,photo/items60/Finestsnakemeat.png,,Dropped by Mud snake in Kugnae snake cave
Fire blade,weapons/swords,0,photo/weapons60/fireblade.gif,"Cannot repair, costs 8 fine metal and 2 Hot coal per attempt and can only be made once every 72 hours",Made by Champion+ Smiths
Fire Orb,armor/handitems,0,photo/armor60/fireorb.gif,Bonded,Orb Quest Special Info: Bonded
Flame spear,weapons/spears,0,photo/weapons60/Flamespear.gif,Can hit multiple targets / Does not take away invisible after hit,"Reward for ""destroying evil pursuits of Iron Hands"" (2016)"
Flameblade,weapons/swords,0,photo/weapons60/flameblade.gif,Rare fishing catch,"Rare Mythic Dog 3, Horse 1 drop"
Flamefang,weapons/swords,0,photo/weapons60/flamefang.gif,Break on Death,"Rare drop by the HighLevel Hamgyong Namdo Ogre bosses, the HighLevel Mantis Bosses, Rooster Avenger, Rat Avenger, and Tiger Palace Bosses."
Flametongue ring,armor/handitems,0,photo/armor60/flametonguering.gif,0,Tangun Flametongue Quest Special Info: 0
Flash dust,items/bombs,0,photo/items60/bombbag.gif,,Arena Shops
Flash powder,items/bombs,0,photo/items60/bombbag.gif,,Arena Shops
Floating ring of Substratum,armor/handitems,0,photo/armor60/floatingringofsubstratum.gif,,None Special Info:
Floret pendant,armor/subaccessory,0,photo/armor60/floretpendant.gif,,Tangun Spearmen Quest Special Info:
Fly leg,items/woodlandsitems,0,photo/items60/flyleg.gif,,Woodlands Cave: Lobster Max Held in One Slot: 1 Creature: Sand fly Dog
Focusing water,items/drops|items/woodlandsitems,0,photo/items60/focusingwater.gif,,Woodlands Raheem Desert Cave
Forest diamond,armor/subaccessory,0,photo/armor60/forestdiamond.gif,Quest,Lost Mines Event 2009 Special Info: Quest
Forest malong,armor/coataccessory,0,photo/armor60/forestmalong.gif,None,Can be purchased with Pirate Coins on Gogoon Island Special Info: None
Forest malong shoes,armor/subaccessory,0,photo/armor60/forestmalongshoes.gif,None,Can be purchased with Pirate Coins on Gogoon Island Special Info: None
Forest sarong,armor/coataccessory,0,photo/armor60/forestsarong.gif,None,Can be purchased with Pirate Coins on Gogoon Island Special Info: None
Forest sarong slippers,armor/subaccessory,0,photo/armor60/forestsarongslippers.gif,None,Can be purchased with Pirate Coins on Gogoon Island Special Info: None
Forged kallal,weapons/swords,0,photo/weapons60/kallal.gif,"Obtained in Hyul 1, Mongol Invasion",Unobtainable
Forsaken blade,weapons/carnageprize|weapons/swords,0,photo/weapons60/forsakenblade.gif,Break on Death,Ancients or Higher Carnage Prize
Forsaken helm,armor/headitems,0,photo/armor60/forsakenhelm.gif,Bonded / Unrepairable,Clan Hall Special Info: Bonded / Unrepairable
Forsaken helmet,armor/headitems,0,photo/armor60/forsakenhelm.gif,Bonded / Unrepairable,Clan Hall Special Info: Bonded / Unrepairable
Forsaken ring,armor/handitems,0,photo/armor60/blackring.gif,Break on Death,Rooster 3 Boss (Rare) Special Info: Break on Death
Forsaken staff,weapons/carnageprize|weapons/spears,0,photo/weapons60/deathshead.gif,Break on Death,Ancients or Higher Carnage Prize
Fox blade,weapons/swords,0,photo/weapons60/steelthorn.gif,Break on Death,Nine-tailed Fox in Fox Caves
Fox fan,weapons/fans,0,,,Lost Mines Event - Yuri 59
Fox fur,items/drops|items/spells,0,photo/items60/foxfur.gif,,Various foxes
Fox hunt key,items/keys,0,photo/items60/clankey.gif,,None
Fragile rose,armor/handitems,0,photo/armor60/fragilerose.gif,Expensive repair,Dog Item Boss Special Info: Expensive repair
Fried egg,items/crafts|items/vita,0,photo/items60/friedegg.gif,,None
Frost sabre,weapons/swords,0,photo/weapons60/icesabre.gif,"Bonded, required to complete Staff of the Element Quest",Obtained through Ice beast quest.
Frozen spear,weapons/spears,0,photo/weapons60/frozenspear.gif,Break on Death,Blizzard King
Fury fan,weapons/fans,0,,None,Leviathan Quest
Gaudy JangChang Chun,weapons/spears,0,photo/weapons60/jangchangchun.gif,None,Event
Gaudy JangChang Kui,weapons/spears,0,photo/weapons60/jangchangkui.gif,None,Event
Ghostly essence,items/drops|items/woodlandsitems,0,photo/items60/ghostlyessence.gif,,Woodlands Dog Cave
Giasomo stick,weapons/swords,0,photo/weapons60/wood.gif,Break on Death,"Dropped by Arctic Kings. Bonded, Non-break on death versions can also be bought in Arctic Smith by saying ""Laptev""."
Gibbous Moon dagger,weapons/swords,0,photo/weapons60/moondagger.gif,BREAK ON DEATH,"2017 Halloween Event ""Changmu town"""
Gijouhei platemail,armor/coataccessory,0,photo/armor60/gijouheiplatemail.gif,Chonguns' only,Obtained by members of Chongunate Special Info: Chonguns' only
Gijouhei war dress,armor/coataccessory,0,photo/armor60/gijouheiwardress.gif,Chonguns' only,Obtained by members of Chongunate Special Info: Chonguns' only
Gilded JangChang Chun,weapons/spears,0,photo/weapons60/jangchangchun.gif,None,Event
Gilded JangChang Kui,weapons/spears,0,photo/weapons60/jangchangkui.gif,None,Event
Ginko snap bow,weapons/bows,0,,None,Costs 15 Elixir tokens
Ginseng,items/drops|items/spells|items/vita,0,photo/items60/ginseng.gif,,Various rats
Ginseng piece,items/drops|items/vita,0,photo/items60/ginseng.gif,,Various rats
Glaive of Grin,weapons/extinct|weapons/swords,1,photo/weapons60/woodensaber.gif,The normal version of grin's War sword in the God war.,Fight for grin
Glaive of Grin (War Mode),weapons/extinct|weapons/swords,1,photo/weapons60/destinyspear.gif,The war version of grin's War sword in the God war.,Fight for grin
Goblin's club,weapons/extinct,1,,Extinct,Beta Weapon
Gold acorn,items/drops|items/spells,0,photo/items60/goldacorn.gif,,Various squirrels
Gold bar,items/other,0,photo/items60/goldbar.gif,,None
Gold circlet,armor/headitems,0,photo/armor60/goldcirclet.gif,None,Can be purchased with 20 Pirate Coins Special Info: None
Gold Plated Crossbow,weapons/bows,0,,Halloween Event 2012 & 2019,Must have killed 1000 walking dead and Jae the Slice 5 times.
Gold qipao,armor/peasantarmor,0,photo/armor60/goldqipao.gif,Bonded (unbonded rare),King Yuri's Ball Special Info: Bonded (unbonded rare)
Gold sentai armor,armor/coataccessory,0,photo/armor60/sentaiarmor-gold.gif,Temporary item that can be worn during April Fools' events,Spawns on floor during April's fools events Special Info: Temporary item that can be worn during April Fools' events
Gold sentai helm,armor/subaccessory,0,photo/armor60/sentaihelm-gold.gif,Temporary item that can be worn during April Fools' events,Spawns on floor during April's fools events Special Info: Temporary item that can be worn during April Fools' events
Gold studded circlet,armor/headitems,0,photo/armor60/goldstuddedcirclet.gif,None,Can be purchased with 60 Pirate Coins Special Info: None
Golden axe,weapons/axes,0,,Only 3 versions of this axe exist in Nexus,Given to the top 3 people who killed Haunted trees in Myungok
Golden Chef Hat,armor/headitems,0,photo/armor60/goldenchefhat.gif,,Quest when Kinung Crafter's opened Special Info:
Golden remembrance garb,armor/coataccessory,0,photo/armor60/goldenremembrancegarb.gif,,Thanksgiving Event 2007 Special Info:
Golden remembrance gown,armor/coataccessory,0,photo/armor60/goldenremembrancegown.gif,,Thanksgiving Event 2007 Special Info:
Golden sunset,items/other,0,photo/items60/goldensunset.gif,,Created by Druids
Golden teapot,armor/subaccessory,0,photo/armor60/goldenteapot.gif,None,mug's Mug contest 2007 Special Info: None
Gossamer substratum membrane,armor/peasantarmor,0,photo/armor60/gossamersubstratummembrane.gif,Break on Death,"Gather ""sub plates"" from crates in Hamgyong River Special Info: Break on Death"
Gown of the earth mage,armor/coataccessory,0,photo/armor60/gownoftheearthmage.gif,Geomancers' only,Obtained by members of Geomancers' circle Special Info: Geomancers' only
Graced by the Muse,items/other,0,photo/items60/scrollroll.gif,,Library
Grain of sand,items/drops|items/woodlandsitems,0,photo/items60/grainofsand.gif,,Woodlands Lobster Cave
Grand Dogsuli Armor,armor/warriorarmor,0,,Woodlands Armor,Special Info: Woodlands Armor
Grand Keopjil Armor,armor/roguearmor,0,,Woodlands Armor,Special Info: Woodlands Armor
Grand Kon Ip Armor,armor/magearmor,0,,,Special Info:
Grand Nalgae Plate,armor/poetarmor,0,,Woodlands Armor,Special Info: Woodlands Armor
Greater tulip,items/other,0,photo/items60/greatertulip.gif,,Created by Druids
Green cloak,armor/peasantarmor,0,photo/armor60/greencloak.gif,Break on Death. Cannot be sold back to NPC.,Seams Special Info: Break on Death. Cannot be sold back to NPC.
Green dopo,armor/peasantarmor,0,photo/armor60/greendopo.gif,Bonded rare,King Yuri's Ball Special Info: Bonded rare
Green dragon staff,weapons/spears,0,photo/weapons60/greendragonstaff.gif,Rarely,This is the second Mystical weapon. Turn in a Leaf to get this.
Green glowing flame,weapons/swords,0,photo/weapons60/greenglowingflame.gif,,This is the last Mystical weapon. Turn in Dragon staff to get this.
Green magoja,armor/peasantarmor,0,photo/armor60/greenmagoja.gif,Bonded (unbonded rare),King Yuri's Ball Special Info: Bonded (unbonded rare)
Green sentai armor,armor/coataccessory,0,photo/armor60/sentaiarmor-green.gif,Temporary item that can be worn during April Fools' events,Spawns on floor during April's fools events Special Info: Temporary item that can be worn during April Fools' events
Green sentai helm,armor/subaccessory,0,photo/armor60/sentaihelm-green.gif,Temporary item that can be worn during April Fools' events,Spawns on floor during April's fools events Special Info: Temporary item that can be worn during April Fools' events
Green shade leaf,weapons/spears,0,photo/weapons60/greenshadeleaf.gif,,This is the first Mystical weapon
Green squirrel pelt,items/drops,0,photo/items60/foxfur.gif,,Green squirrels
Green valkyrie,armor/peasantarmor,0,photo/armor60/greenvalkyrie.gif,Bonded (unbonded rare),King Yuri's Ball Special Info: Bonded (unbonded rare)
Gri-yul staff,weapons/spears,0,photo/weapons60/griyulstaff.gif,None,NPC Shirong in Tangun
Grilled beef,items/vita,0,photo/items60/grilledbeef.gif,,Created by food preparation
Grin sword 1,weapons/extinct|weapons/swords,1,photo/weapons60/anniversarysword.gif,Bonded / Unrepairable / Break on Death,Obtained during 3rd Anniversary Event - Extra Quest to assist grin from Ice
Grin sword 2,weapons/extinct|weapons/swords,1,photo/weapons60/anniversarysword.gif,Bonded / Unrepairable / Break on Death,Obtained during 3rd Anniversary Event - Extra Quest to assist grin from Ice
Grin sword 3,weapons/extinct|weapons/swords,1,photo/weapons60/anniversarysword.gif,Bonded / Unrepairable / Break on Death,Obtained during 3rd Anniversary Event - Extra Quest to assist grin from Ice
Grin sword 4,weapons/extinct|weapons/swords,1,photo/weapons60/anniversarysword.gif,Bonded / Unrepairable / Break on Death,Obtained during 3rd Anniversary Event - Extra Quest to assist grin from Ice
Grin sword 5,weapons/extinct|weapons/swords,1,photo/weapons60/anniversarysword.gif,Bonded / Unrepairable / Break on Death,Obtained during 3rd Anniversary Event - Extra Quest to assist grin from Ice
Gruff Ring,armor/subaccessory,0,photo/armor60/Gruffring.png,Quest,Completing Gruff smith sub-accessory quest Special Info: Quest
Hamgyong fishing club,weapons/clubs,0,,None,Dropped by Tur-ghan in Hamgyong nam-do
Hamgyong jelly lump,armor/handitems,0,photo/armor60/hamgyongjellylump.gif,,"Dropped by Tuna Wizard Boss, River Ogres Special Info:"
Hammered kallal,weapons/swords,0,photo/weapons60/kallal.gif,"Obtained in Hyul 1, Mongol Invasion",Mongol Invasion Event - Hyul 1
Hanfu dress,armor/coataccessory,0,photo/armor60/hanfudress.gif,none,Obtaining as one of the possible rewards for earning sealegs with Pirate Bluestone at Pirates Event March 2007 Special Info: none
Hanfu garb,armor/coataccessory,0,photo/armor60/hanfugarb.gif,none,Obtaining as one of the possible rewards for earning sealegs with Pirate Bluestone at Pirates Event March 2007 Special Info: none
Hanul Sae Fan,weapons/fans,0,,None,Gogoon Fan Quest
Harmonious magic flute,armor/subaccessory,0,photo/armor60/magicflute.gif,None,Tree of Reflections Event Special Info: None
Healing water,items/drops|items/woodlandsitems,0,photo/items60/healingwater.gif,,Woodlands Raheem Desert Cave
Heart chained diamond pendant,armor/subaccessory,0,photo/armor60/heartchaineddiamondpendant.gif,,Special Info:
Heart chained emerald pendant,armor/subaccessory,0,photo/armor60/heartchainedemeraldpendant.gif,,Special Info:
Heart chained onyx pendant,armor/subaccessory,0,photo/armor60/heartchainedonyxpendant.gif,,Special Info:
Heart chained pink diamond pendant,armor/subaccessory,0,photo/armor60/heartchainedpinkdiamondpendant.gif,,Special Info:
Heart chained ruby pendant,armor/subaccessory,0,photo/armor60/heartchainedrubypendant.gif,,Special Info:
Heart chained sapphire pendant,armor/subaccessory,0,photo/armor60/heartchainedsapphirependant.gif,,Special Info:
Heaven's bell,items/other,0,photo/items60/heavensbell.gif,,Created by Druids
Heavens helm,armor/headitems,0,photo/armor60/heavenshelm.gif,Bonded / Unrepairable,Clan Hall Special Info: Bonded / Unrepairable
Heavens helmet,armor/headitems,0,photo/armor60/heavenshelm.gif,Bonded / Unrepairable,Clan Hall Special Info: Bonded / Unrepairable
Heavy buckler,armor/shields,0,photo/armor60/heavybuckler.gif,Bonded,Nagnag Shield Quest Special Info: Bonded
Heavy dragon spear,weapons/extinct|weapons/spears,1,photo/weapons60/militarypolearm.gif,Beta Test Weapon,Beta Weapon
